jumlah_data,persen_duplikat,replikasi,deteksi_hash_ms,deteksi_bst_ms,deteksi_vector_ms,deteksi_meta_hash_ms,deteksi_meta_bst_ms,deteksi_meta_vector_ms,insert_hash_ms,insert_bst_ms,insert_vector_ms,search_hash_ms,search_bst_ms,search_vector_ms,search_miss_hash_ms,search_miss_bst_ms,search_miss_vector_ms,range_bst_ms,range_vector_ms,delete_hash_ms,delete_bst_ms,delete_vector_ms,memori_hash_bytes,memori_bst_bytes,memori_vector_bytes,grup_duplikat,file_duplikat
5000,10,2,18.095000,24.091000,113.766000,24.315000,7.613000,492.106000,34.555000,21.662000,11.087000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.337000,12.438000,0.000000,0.000000,1.534000,33947514,17264006,18522085,406,848
5000,10,3,13.721000,15.731000,110.644000,25.001000,8.412000,474.990000,29.328000,16.993000,9.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.951000,10.346000,0.000000,0.523000,3.108000,33684396,17131777,18390636,464,987
5000,15,1,16.571000,24.213000,116.525000,17.993000,7.303000,417.739000,26.976000,19.852000,9.755000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.032000,10.274000,0.000000,0.000000,1.005000,34058480,17318137,18578472,624,1354
5000,15,2,13.193000,14.469000,97.709000,22.455000,5.595000,447.652000,26.705000,14.853000,8.585000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.217000,9.211000,0.000000,0.000000,2.543000,33916442,17247494,18506629,629,1372
5000,15,3,13.248000,18.553000,85.265000,18.026000,7.709000,414.400000,22.999000,14.773000,7.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.509000,9.258000,0.000000,0.000000,3.084000,34041680,17309845,18569580,672,1469
5000,20,1,13.988000,14.237000,79.301000,18.573000,6.662000,460.692000,27.451000,14.566000,7.722000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.193000,9.726000,0.000000,0.000000,1.540000,33953134,17265118,18525393,821,1838
5000,20,2,16.421000,14.556000,80.598000,18.883000,6.198000,469.330000,24.260000,14.290000,7.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.143000,12.910000,0.000000,0.000000,1.516000,34044170,17310034,18571785,782,1764
5000,20,3,12.338000,17.021000,81.393000,18.622000,5.660000,429.660000,25.974000,14.905000,8.315000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.857000,10.461000,0.000000,0.000000,2.051000,33931308,17254183,18514614,791,1775
10000,10,1,19.014000,26.372000,354.757000,38.969000,10.688000,1978.032000,31.596000,24.749000,14.403000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.645000,15.726000,0.000000,0.000000,4.064000,23141170,12165847,12643037,913,1920
10000,10,2,23.780000,32.417000,351.676000,36.500000,10.186000,1944.794000,39.016000,26.540000,15.253000,0.000000,0.000000,0.000000,0.000000,0.000000,0.512000,34.772000,18.467000,0.000000,0.000000,2.550000,23181450,12184055,12665109,915,1945
10000,10,3,21.788000,28.773000,382.563000,39.694000,11.121000,2007.059000,34.488000,27.739000,16.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.722000,17.695000,0.000000,0.000000,3.083000,23145558,12169661,12643611,923,1931
10000,15,1,22.327000,27.035000,357.837000,39.593000,9.688000,2137.805000,38.712000,26.625000,14.726000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.320000,17.443000,0.000000,0.000000,3.723000,23107728,12145694,12629748,1245,2731
10000,15,2,21.898000,26.375000,326.245000,42.819000,10.378000,2248.887000,34.445000,32.108000,14.881000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.785000,17.739000,0.000000,0.000000,3.532000,23150444,12165720,12652438,1259,2742
10000,15,3,23.283000,26.012000,343.959000,58.483000,10.784000,1879.375000,33.754000,26.154000,13.693000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.090000,20.898000,0.000000,0.000000,4.235000,23115856,12149278,12634292,1266,2770
10000,20,1,24.727000,28.216000,307.708000,45.879000,11.846000,2111.360000,39.319000,27.516000,15.958000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.582000,20.323000,0.503000,0.581000,3.023000,23156874,12172211,12652377,1560,3546
10000,20,2,20.440000,27.552000,315.211000,38.641000,9.312000,2287.828000,37.667000,28.177000,14.709000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.125000,20.473000,0.000000,0.000000,2.576000,23168630,12178375,12657953,1578,3548
10000,20,3,23.841000,33.086000,377.567000,35.563000,8.945000,2085.433000,40.087000,25.428000,15.363000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.754000,14.928000,0.000000,0.000000,5.683000,23214036,12203324,12678426,1580,3533
